,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,Southernly distribution (place),,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,,,,
Perdix_perdix,Grey Partridge,396.6,42.3,25.1,Pis 2010,,,,"Porvoo--Heinajarvi, Finland","Salo, Halikonlahti area, Finland","Jokiniemen Kissahoitola,Tyrnava, Finland","Landsbergaslatten, Uppsala Ian, Sweden","Lappi, Lumijoki, Finland","Sarilar, Turkey","Sarilar, Turkey","Saribeyler, Turkey","Kanibarazan wetland, Iran","Kafkas University Wetland, Turkey",January 23,November 27,May 26,December 17,June 9,28.25,20.15,54.1,34.19,52,25,12,45,30,41,30,25,64,37,61,August 2,July 22,November 26,March 21,March 19,83.52,84.57,58.56,43.63,56.8,77,75,54,32,48,91,93,68,54,64,72.5,41,63.75,45,66.5,90.33,93.33,73,94.6,95,52.5,37,51.75,37,52.75,69.33,71,55,72,67.5,62.24,38.63,57.3,42.46,58.47,77.25,79,60.22,80.84,79.68,,,
Phasianus_cholchicus,Ring-Necked Pheasant,74.2,41.4,29.3,Pis 2010,,,,"Lupi Hyllykallio, Seinajoki, Finland","Tuusniemi, Koivulahti, Finland","Sundom, Sweden","Nokkala, Finland","Kempeleenlahti Bay, Finland","Bahia Jara, Chile Chico, Chile","Bahia Jara, Chile Chico, Chile","Terra Luna Lodge, Chile Chico, Chile","Vista Hermosa, Coyhaique, chile","Pasado Cruce del Valle Simpson, Coyhaique, Chile",April 14,April 4,June 1,May 7,May 19,34.06,31.22,41.16,56.21,44.25,23,18,36,37,41,45,41,46,70,48,Septemer 17,October 26,April 4,April 10,June 21,52.25,57.25,52.2,44.62,35.68,47,50,48,19,32,58,63,55,63,39,76.33,73.5,62,65.75,72,72,78,65.5,66,63,57,54,50.25,54.25,55,51.33,51,52.5,50,49.3,66.16,63.17,55.93,61.06,63.92,62.3,63.74,56.69,55.23,54.12,,,
Carduelis_chloris,Greenfinches (in eBird as European Greenfinch),27,TNZ = 26,*,"Saarela, Klapper, and Heldmaier 1991",,,,"Berlevag skole, Norway","Honningsvag Harbor, Norway","Batsfjord, Norway","Vadsoya, Norway","Batsfjord, Norway","Campbell Island, New Zealand","Haldane Bay, Southland District, New Zealand","Stewart Island/Rakiura Mason Bay, New Zealand","Waipapa Point Lighthouse, Southland District, New Zealand","Tokanui Gorge Rd Hwy and Mataura River, Southland District, New Zealand",August 4,March 28,March 19,April 1,May 26,40.5,30.08,14,32,37.93,39,26,12,23,37,41,33,18,37,39,December 12,December 11,January 8,September 24,December 9,59.5,55.25,52.62,48.87,52.5,53,48,50,47,48,70,61,55,53,57,52.33,59,57.2,66.25,57.75,81,83,79,75,91,44.67,47.8,46,51.25,47.5,56,61,58.67,53,62,48.35,52.42,51.06,58.88,51.92,64,72.25,67.08,62.5,74.63,,,
Carduelis_spinus,Siskins (in eBird as Eurasian Siskin),13.5,TNZ = 29,*,"Saarela, Klapper, and Heldmaier 1991",,,,"Hotelli Korpikartano, Menesjarvi, Finland","Melkefoss, Norway","Kjolnes Lighthouse, Norway","Straumsbukta, Norway","Melkefoss, Norway","Al Sila, United Arab Emirates","Urayarah, Saudi Arabia","Al-Shallal's Farm, Kuwait","Al-Shallal's Farm, Kuwait","Guishan Island, Taiwan",July 30,June 15,June 7,June 7,June 13,51.92,57,54.75,43.45,47.62,46,48,45,41,41,57,64,64,46,52,November 22,January 5,November 10,December 18,April 26,70.64,61.78,75.17,53.29,76.9,61,50,63,43,70,79,79,86,64,82,60,67.25,69,64.5,66.5,86,97.67,88.5,90,111,51.33,52.5,54.67,51,52.75,75,79.33,76.5,72,97,55.2,60.08,61.21,57.56,58.47,79.4,85.23,81.48,79.5,101.29,,,
Oena_capensis,African Namaqua Dove (in eBird as Namaqua Dove),36.4,40,32,Schleucher 1999,,,,"Altinkum Plaji, Cyprus","Mobarakiyeh, Iran","Fakhrabad, Iran","Estagfirullah, Turkey","Beit HaArava, Israel","Duiwenhoks River mouth, South Africa","De Hoop Nature Reserve, South Africa","Van Dyks Bay, South Africa","Springerbaai Coastal Eco Estate, South Africa","De Mond Nature Reserve, South Africa",April 26,January 5,December 29,October 26,April 24,66.55,38.62,51.23,71.8,61,55,27,36,64,54,81,57,59,76,66,December 14,October 17,December 27,January 19,November 1,63.14,57.6,64.24,67.79,55.7,54,52,54,61,52,75,64,73,77,59,95.5,88.4,68,73.5,n/a,91,89,90,87.6,96.5,74,69.6,54,56.5,n/a,66,65.5,66,61.6,68,81.97,79.57,59.07,64.04,n/a,74.68,72.86,77.07,70.46,79.1,,,
Parus_atricapillus,Black-capped Chickadee,12,27,0,Chaplin 1976,,,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
Poecile_atricapillus,Black-capped Chickadee,11.2,36,23.5,Pollock et al. 2019,Summer,,**,"Kfar Ruppin fishponds, Israel","Mosul Lake--dam outlet, Iraq","Tal Or, Israel","Arikhiya Farm, Qatar","Mara Triangle, Kenya","Rust De Winter Nature Reserve Limpopo, South Africa","North Uthungulu (-27.9358,32.2394), South Africa","Nagana, South Africa","Rooikatkloof Nature Preserve, South Africa","Mkhuze, South Africa",July 16,June 24,June 24,June 7,July 8,83.08,92.7,79.46,96.13,65.14,77,75,72,84,59,90,104,86,109,73,July 27,July 13,June 22,June 24,June 14,54.22,54.12,56.19,53.04,68.12,41,41,43,39,60,68,66,73,66,84,n/a,n/a,n/a,n/a,93.25,n/a,87.5,n/a,n/a,89,n/a,n/a,n/a,n/a,69.53,n/a,61.75,n/a,n/a,62,n/a,n/a,n/a,n/a,70.92,n/a,70.76,n/a,n/a,70.51,,,
Poecile_atricapillus,Black-capped Chickadee,11.2,33.4,14.1,Pollock et al. 2019,Winter,,**,"Khatmat Milahah, Oman","Sulaibiya Pivot Fields-Southern Section, Kuwait","Beit HaArava, Israel","Pivot Fields, Kuwait","Sulaibiya Pivot Fields- Southern Section, Kuwait","Witzenberg Valley Road (-33.228,19.317), Western Cape, South Africa","Rooisand Nature Reserve, South Africa","West Coast National Park Marine Protected Area, South Africa","De Hoop Nature Reserve, South Africa","Baakensrug Farm, Nelspoort, South Africa",February 22,January 2,February 20,February 19,January 28,70.66,62.38,53.71,65.08,63.46,64,52,41,52,54,75,70,64,82,73,January 7,January 13,January 24,January 11,February 23,68.21,71.76,68.25,79.75,71,63,64,63,68,63,75,81,73,90,81,n/a,n/a,n/a,n/a,n/a,91,n/a,88,97,91.33,n/a,n/a,n/a,n/a,n/a,68,n/a,68,72,62.5,n/a,n/a,n/a,n/a,n/a,78.69,n/a,74.96,81.96,71.23,,,
Nyctea_scandiaca,Snowy owl,1800,18.5,2.5,Gessaman 1972,Winter - Cited in West and Norton 1975,,,"Rield Recreation Park, Edmonton, Alberta, Canada","Grand Prairie, Alberta, Canada","Rang Road 233, Edmonton, Alberta, Canada","Riviere Qui Barre, Edmonton, Alberta, Canada","Cardiff, Alberta, Canada","Dover Air Force Base, Kent, Delaware, United States","West Point, King William, Virginia, United States","Coles County, Illinois, United States","Dover Air Force Base, Kent, Delaware, United States","Sandborn, Knox, Indiana, United States",January 1,February 9,February 14,January 9,January 10,27.1,-8.54,33.72,-6.06,3.38,14,-24,25,-17,0,36,5,43,1,5,January 17,January 1,January 7,February 2,January 24,33.13,14.21,10.13,40.54,29.07,31,5,3,31,20,36,22,19,47,39,n/a,68,70.33,69,n/a,n/a,70,60,79,n/a,n/a,38.5,42.5,44.67,n/a,n/a,53,40,61,n/a,n/a,52.67,52.68,54.92,n/a,n/a,58.76,49,69.8,n/a,,,
Cyanoliseus_patagonus,Burrowing parrot (in eBird as Burrowing Parakeet),250,35,15,Zungu et al. 2013,,,,"Payogasta, Cachi, Argentina","Salta rafting (-25.293,-65.272), La Vina, Argentina","Cabra Coral, La Vina, Argentina","Campo Kilampa-Tala Canada, Pocho, Argentina","Las Calles, San Alberto, Argentina","Estrada Caleta Cordova, Escalante, Argentina","Ruta Provincial 270, Sarmiento, Argentina","Bosque pertrificado Sarmiento, Sarmiento, Argentina","Aeropuerto Internacional Almirante Marcos A. Zar, Rawson, Argentina","Puerto Madryn, Biedma, Argentina",February 26,May 1,March 10,January 10,October 24,60.58,69.83,65.6,74.68,56.61,57,64,61,64,50,64,75,73,86,68,January 15,February 11,August 26,November 12,December 1,68.83,62.26,51.91,65.67,58.54,61,45,45,54,48,79,79,63,77,66,90.2,87.75,86,88.16,91,98.5,93,93,89.5,91,65.8,64.25,60.67,63.67,68,71.5,70,60,66,66,71.63,70.54,69.33,69.23,78.96,83.96,80.69,66.33,76.93,76.68,,,
Cardinalis_cardinalis,Arizona cardinal or northern cardinal,41.3,42,29,"Hinds and Calder, 1973",,,,"Carlton Park Community Club, Prince Albert, Saskatchewan, Canada","Brule Lake campsite, Cook, Minnesota, United States","Bear Head Lake, St. Louis, Minnesota, United states","28 Lakeview Dr, Terrace Bay, Ontario, Canada","Sainte-Rose-du-Nord, Le Fjord-du-Saguenay, Quebec, Canada","Puerto Angel, Oaxaca, Mexico","Punta Cometa, Oaxaca, Mexico","Parque Nacional Huatulco, Oaxaca, Mexico","Puerto Angel, Oaxaca, Mexico","Playa Zipolite, Oxaca, Mexico",July 26,July 5,July 5,November 6,March 2,65.94,77.04,81.67,37.88,19.21,61,69,73,34,9,77,83,91,41,25,January 12,February 18,March 6,March 26,March 25,80.84,81.5,82.33,82.46,84.46,72,73,75,72,75,86,88,88,88,90,61.33,63,65.25,52.5,n/a,88,88.33,89.67,87.25,n/a,40.33,41,41,33,n/a,61,66,65.67,63.75,n/a,48,50.57,51.91,43.35,n/a,75.12,77.33,77.94,75.64,n/a,,,
Callipepla_squamata,Chestnut-bellied scaled quail (in eBird as Scaled Quail),150,35,25,Kline et al. 2019,,,,"Edison BBS Rte--start, El Paso County, Colorado, United states","Miami-Yoder School, Rush, Colorado","Wild Horse, Cheyenne County, Colorado, United States","Ellicott, El Paso County, Colorado, United States","Aroya, Cheyenne County, Colorado, United states","San Pablo Toliman (20.796,-99.918), Queretaro, Mexico","Mesa Las Prenada, Aguascalientes, Mexico","San Jose del Alamito, San Jose de vindeo, Coahuila, Mexico","Charcas, San Luis Potosi, Mexico","Tequisquiapan, Queretaro, Mexico",June 21,June 6,April 14,May 21,May 8,55.61,76.79,61.5,67.69,48.75,49,61,43,54,47,66,93,78,83,51,August 29,July 8,January 13,September 4,June 4,65.52,67.37,57.42,62.73,66.6,54,59,37,57,52,79,77,75,70,81,99,102,84.2,96.5,83,82.67,81.25,85,82,84.25,73,69,53.2,65,53,57.33,60,56,58,62.5,84.67,87.79,67.88,80.53,67.92,68.92,69.4,67.78,68.61,73.13,,,
Ammoperdix_heyi,Sand partridge,172,>51,30,Frumkin et al. 1986,,,,"Beit HaArava, Israel","Fasa'il, Israel","Hemdat, Israel","Mitspe Shalem, Israel","Beit HaArava, Israel","Mudayy, Oman","Underwater Observatory Park, Eilat, Israel","Munay, United Arab Emirates","Al Ain, United Arab Emirates","Mirbat, Oman",February 24,December 8,February 16,August 28,February 26,56.96,59.52,50.7,84.42,66.68,46,57,46,81,50,68,63,54,88,73,December 1,February 1,November 13,January 8,May 26,79.5,55.41,84.38,68.71,89.39,73,45,81,63,86,88,68,88,77,113,n/a,n/a,n/a,n/a,n/a,86,103.67,88.5,102.75,106,n/a,n/a,n/a,n/a,n/a,75,87.5,76.5,85.25,87.25,n/a,n/a,n/a,n/a,n/a,79.4,93.18,81.48,91.79,95.26,,,
Onychognathus_tristramii,Tristram's Starling,123,36.5,21.5,Dmi'el and Tel-Tzur 1985,,,,"Ein Al-Auja, Israel","Ma'ale Efraim (32.081, 35.38), Israel","Ma'ale Efraim, Israel","Ma'ale Adumim, Israel","Yahel, Israel","Salalah, Oman","Dahariz Beach-Khor End, Oman","The Inter-University Institute for Marine Sciences, Israel","Crowne Plaza Resort, Salalah, Oman","Dahariz Beach-Khor End, Oman",October 19,October 28,January 21,October 22,May 9,76.33,no data,no data,no data,no data,70,no data,no data,no data,no data,82,no data,no data,no data,no data,August 10,April 13,March 28,January 27,March 16,76.57,83.39,81.65,75.92,78.09,75,81,75,73,72,79,88,86,79,84,n/a,n/a,n/a,n/a,n/a,113,108.5,105.2,105.2,101.5,n/a,n/a,n/a,n/a,n/a,95,92.25,90.2,88.4,85,n/a,n/a,n/a,n/a,n/a,101.83,98.26,94.86,94.74,89.44,,,
Columba_livia,Rock pigeon/ Rock dove,369,42,30,Marder and Ariela 1988,,,,"Honningsvag Harbor, Norway","Honningsvag Harbor, Norway","Hammerfest, Norway","Vadso Harbour, Norway","Kirkenes, Norway","Glaciar Marrtial, Ushuaia, Argentina","Reserva Natural Urana Bahia Encerrada, Ushuaia, Argentina","Rio de los Ciervos, Punta Arena, Chile","Reserva Natural Urana Bahia Encerrada, Ushuaia, Argentina","Laguna Azul-Santa Cruz, Guer Aike, Argentina",May 21,March 28,August 6,March 5,June 13,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,February 24,February 17,June 20,January 18,October 18,40.54,47.79,36.13,48.58,44.13,36,43,34,46,37,45,50,39,52,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Selenidera_maculirostris,Spot-billed toucanet ,164,34,24,McNab and Bosque 2001,,,,"Istituto Nacional Mata Atlantica, Stana Teresa, Brazil","Jequie, Brazil","Parque Nacional de Boa Nova, Brazil","Pedra de Tres Pontoes, Brazil","Santa Teresa, Brazil","Volta Velha Reserve, Itapoa, Brazil","Quest Brazil, Schroeder, Brazil","Brusque, Brazil","Parque Nacional de Sao Joquim, Brazil","Volta Velha Reserve, Itapoa, Brazil",August 22,March 30,March 16,March 15,November 16,68.19,80.48,74.46,69.58,75.4,63,73,73,64,73,81,86,86,72,79,January 19,October 6,October 28,February 13,June 1,75.21,54.15,68.04,68.68,54.39,68,54,59,61,50,86,55,81,82,64,92.33,90.67,93.7,94.16,98.5,84,86,88,88,84.33,75,76.33,74,76,79,64,66.5,63.5,70,61,82,79.83,79.68,83,85.85,71.26,73.98,74.14,74.15,68.96,,,
Gallirallus_philippensis_mellori,Buff-banded rail,169,37,18,"McNab and Ellis, 2006",,,,"Laoag City, Phillipines","Mt. Iraya, Basco, Phillipines","Mt. Iraya, Basco, Phillipines","Vaayang Rolling Hills, Basco, Phillipines","Banaue hotel, Phillipines","Kundy Island, South District, New Zealand","Torrent Bay, Tasman District, New Zealand","Marahau, Tasmam District, New Zealand","Port Campbell National Park, Corangamite, Victoria, Australia","Point Wilson, Greater Geelong, Victoria, Australia",March 26,February 9,February 13,March 17,February 11,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,September 4,January 9,March 6,June 14,January 4,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Porphyrio_melanotus,Australasian swamphen,920,38,14,"McNab and Ellis, 2006",,,,"Kakadu National Park--South Aligator boatramp, West Arnhem, Northern Territory, AU","Kulu River, Papua New Guinea","(-12.5009,136.2708), East Arnhem, Northern territory, AU","Sorong Airport, Papua Barat, Indonesia","Gizo, Ghizo Island, Solomon Islands","Curio Bay, Southland District, New Zealand","Puerua Bridge, Clutha District, New Zealand","Curio Bay, Southland District, New Zealand","Catlins Forest Park, Clutha District, New Zealand","Stewart Island Pelagic Flat Rock, Southland District, New Zealand",December 28,July 13,September 21,June 11,December 14,86.26,78.23,86.9,85.5,81.03,81,68,82,77,79,91,86,91,91,84,May 20,January 2,October 11,March 21,November 20,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,97,95,97,95,97,n/a,n/a,n/a,n/a,n/a,86,80,84,81.5,82,n/a,n/a,n/a,n/a,n/a,89.77,86.49,87.06,86.27,87.85,n/a,n/a,n/a,n/a,n/a,,,
Tadorna_variegata,Paradise shelduck,1194,*,22,McNab 2003,,,,"Houhora mudflats, Far North District, New Zealand","Te Werahi Ck Mouth, Far North District, New Zealand","Cape Reinga--Te Werahi ponds, Far North District, New Zealand","Cape Reinga--Te Werahi ponds, Far North District, New Zealand","Kowhai Beach, Far North District, New Zealand","Boulder Beach, Ulva Island, Southland District, New Zealand","Raikiura National Park--Ocean Beach ,Southland District, New Zealand","Rakiura National Park--Ulva Island, Southland District, New Zealand","Rakiura National Park--Ulva Island, Southland District, New Zealand","Stewart Island Pelagic Flat Rock, Southland District, New Zealand",October 3,June 8,March 25,January 10,January 9,52.39,52.77,67.39,66,68.33,46,45,63,63,64,57,59,73,72,75,July 25,February 14,February 9,February 24,November 20,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,74.5,68.75,70.8,81.5,72.83,n/a,n/a,n/a,n/a,n/a,62.5,58,61,70,61,n/a,n/a,n/a,n/a,n/a,67.05,61.5,64.64,73.8,64.71,n/a,n/a,n/a,n/a,n/a,,,
Anas_chlorotis,Brown Teal,529,38,24,McNab 2003,,,,"Helena Bay, Whangarei District, NZ-NTL","Omaha Bay Vineyard, Rodney District, Aukland, NZ","Cape Reinga (-34.4287,172.6794), Far North District, NZ-NTL","Parua Bay, Whangarei District, NZ-NTL","12 Old Mill Lane Wetlands (Waiotoi River), Whangarei District, NZ-NTL","Mana Island, Porirua City, NZ","Kapiti Island, Kapiti Coast District, NZ-WGN","Snells Beach Flats, Rodney District, NZ-AUK","Papakura--upper Pahurehure Inlet, Papakura District, NZ-AUK","Little Waihi estuary, Western Bay of Plenty District, NZ-BOP",February 14,December 15,November 12,November 6,January 29,70.79,67.08,57.98,64.31,72.23,63,59,52,59,64,81,75,64,75,82,January 9,January 14,November 27,December 22,November 15,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.83,77,n/a,76,72.2,n/a,n/a,n/a,n/a,n/a,61.33,64,n/a,63,62.2,n/a,n/a,n/a,n/a,n/a,65.79,69.19,n/a,66.2,64.97,n/a,n/a,n/a,n/a,n/a,,,
Ptilinopus_melanospila,Black-naped fruit dove,98.7,33,22,McNab 2000,,,,"Sembiki Rd, Jikotomo, Maluku Utara, Obi Island, Indonesia","Cagar Alam Panua, Gorontalo, Indonesia","Pulisan Resrot, Pulisan, North Sulawesi, Indonesia","Tangkoko Batuangus National Park, Sulawesi Utara, Indonesia","The Tip of Borneo, Sabah, Malaysia","Ruteng, Flores, Nusa Tenggara Timur, Indonesia","Gunung Tunak Deer Park, Nusa Tengggara Barat, Indonesia","Villla Rimba, Kedisan, Gianyar, Bali, Indonesia","Puarlolo, Nusa Tenggara Timur, Indonesia","Puarlolo, Nusa Tengggara Timur, Indonesia",July 30,June 26,August 14,August 29,April 23,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,November 14,July 11,September 26,May 8,July 29,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Ptilinopus_perlatus,Pink-spotted fruit dove,196,32,24,McNab 2000,,,,"Papua Paradise Eco Resort, Papua, Barat, Indonesia","Pulau Wayag, Wajag Island, Papua Barat, Indonesia","Gereja solavide Warimark, Waigeo, Papua Barat, Indonesia","Nimbokrang--forest near village, Papua, Indonesia","Nimbokrang--forest near village, Papua, Indonesia","Lake Murray Lodge, Western Province, Papua New Guinea","Tabubil-Kiunga Rd, Western Province, Papua New Guinea","Nimbokrang--forest viewpoint, Papua, Indonesia (-2.601,140.062)","Lake Murray Ecolodge, Western Province, Papua New Guinea","Milne Bay Province (-10.266751, 150.50144), Papua New Guinea",May 27,October 14,December 16,September 10,July 28,84.09,87.45,87.03,84.65,84.74,73,84,82,81,79,91,91,93,90,90,August 24,June 10,November 21,June 11,October 8,70.83,72.72,75.94,75.41,76.51,63,68,72,64,70,81,81,84,84,84,83,99,93,91.33,84,90.67,85.33,91,84,89,71,79,77,77,72,75.33,70.67,75,74,76,74.25,85.71,83.79,82.43,75.91,80.61,76.01,81.94,76.92,80.79,,,
Ducula_rufigaster,purple-tailed imperial pigeon,377,35,26,McNab 2000,,,,"Papua Paradise Eco Resort, Papua, Barat, Indonesia","Waigeo- General Island, Papua Barat, Indonesia","Kamtabai Homestay, Waigeo, Papua Barat, Indonesia","Tabbubbil-Kiunga Rd, Western Province, Papua New Guinea","West Waigeo Nature Reserve, Papua Barat, Indonesia","Varirata National Park, Port Moresby, Papua New Guinea","Varirata National Park, Port Moresby, Papua New Guinea","Varirata National Park, Port Moresby, Papua New Guinea",NA,"Varirata National Park, Port Moresby, Papua New Guinea",May 27,March 10,December 14,February 29,November 26,84.09,86.45,87.38,85.91,83.51,73,81,82,75,73,91,91,91,93,95,June 28,May 31,March 12,NA,July 18,73.65,74.13,80.89,NA,63.66,70,70,70,NA,52,82,82,91,NA,73,82,88,93,n/a,90,87,89.75,88.4,n/a,86.67,72,77,77,n/a,77,71.67,74,75.6,n/a,75.33,74.52,79.96,83.79,n/a,82.04,76.93,79.8,79.66,n/a,78.97,,,
Ducula_rubricera,red-knobbed imperial pigeon,419,36,24,McNab 2000,,,,"Tukwissup Bay, Gazelle Peninsula, New Britain, Papua New Guinea",NA,"Warongi Put-Put Road, East New Britain Province, Papua New Guinea (-4.506,152.297)",NA,NA,NA,"Tirotonga Village Area, Isabel Province, Solomon Islands",NA,NA,"Soso, Guadalcanal, Soloman Islands",September 10,NA,August 26,NA,NA,no data,NA,no data,NA,NA,no data,NA,no data,NA,NA,no data,NA,no data,NA,NA,NA,July 17,NA,NA,March 3,NA,no data,NA,NA,no data,NA,no data,NA,NA,no data,NA,no data,NA,NA,no data,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Ducula_pacifica,Pacific imperial pigeon,333,35,27.5,McNab 2000,,,,"Ninigo Islands, bahanut, Manus Pronvince, Papua New Guinea (-1.234,144.316)",NA,NA,NA,"Gizo, Ghizo Island, Solomon Islands","Pango Point, Port Vila, Vanatu","Lowanatom, Tanna, Vanatu","Pango Point, Port Vila, Vanatu","Pango Point, Port Vila, Vanatu","Port Vila--Wharf Road, Vanatu",October 6,NA,NA,NA,December 14,no data,NA,NA,NA,no data,no data,NA,NA,NA,no data,no data,NA,NA,NA,no data,May 26,November 29,December 3,May 22,October 5,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Apteryx_australis,Brown kiwi,1780,30,30,McNab 1996,,,,"Kepler Track, Southland District, NZ-STL","Mintaro Hut, Southland District, NZ-STL",NA,NA,NA,"South Arm, Pegasus Harbour, Southland District, NZ-STL","Raikiura National Park--Ocean Beach ,Southland District, New Zealand",NA,"Raikiura National Park--Ocean Beach ,Southland District, New Zealand",NA,March 10,December 28,NA,NA,NA,60.75,59.75,NA,NA,NA,52,44,NA,NA,NA,71,74,NA,NA,NA,July 24,February 2,NA,January 12,NA,no data,no data,NA,no data,NA,no data,no data,NA,no data,NA,no data,no data,NA,no data,NA,66.67,82,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,52,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.07,70.38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Plocepasser_mahali,White-browed sparrow-weavers,41.9,*,*,Noakes et al. 2020,Males,,,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Kimberley, South Africa","Bloemfontein, South Africa","Port Elizabeth, South Africa","Port Elizabeth, South Africa","Port Elizabeth, South Africa","January 18, 2019","February 17, 2018","February 5, 2017","January 23, 2016","March 21, 2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"September 12, 2019","September 20, 2018","October 6, 2017","September 19, 2016","September 28, 2015",63.73,55.68,60.66,55.33,69.9,39,37,43,36,54,86,73,75,70,84,n/a,n/a,n/a,n/a,n/a,101.4,79.8,87.5,82,90.83,n/a,n/a,n/a,n/a,n/a,71.8,66,69.75,67.25,68.33,n/a,n/a,n/a,n/a,n/a,85.43,81.1,75.12,72.12,75.4,,,
Plocepasser_mahali,White-browed sparrow-weavers,40.4,*,*,Noakes et al. 2020,Females,,,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Addis Ababa, Ethiopia","Kimberley, South Africa","Bloemfontein, South Africa","Port Elizabeth, South Africa","Port Elizabeth, South Africa","Port Elizabeth, South Africa","January 18, 2019","February 17, 2018","February 5, 2017","January 23, 2016","March 21, 2015",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"September 12, 2019","September 20, 2018","October 6, 2017","September 19, 2016","September 28, 2015",63.73,55.68,60.66,55.33,69.9,39,37,43,36,54,86,73,75,70,84,n/a,n/a,n/a,n/a,n/a,101.4,79.8,87.5,82,90.83,n/a,n/a,n/a,n/a,n/a,71.8,66,69.75,67.25,68.33,n/a,n/a,n/a,n/a,n/a,85.43,81.1,75.12,72.12,75.4,,,
Colius_colius,White-backed mousebird,40.2,35,29,Buckley et al. 2018,,,,"Windhoek, Namibia","Windhoek, Namibia","Windhoek, Namibia","Windhoek, Namibia","Windhoek, Namibia","Worcester, South Africa","Bokkeriviere Nature Reserve, South Africa","Durbanville, South Africa","Durbanville, South Africa","Durbanville, South Africa","January 24, 2019","February 9, 2018","February 7, 2017","February 25, 2016",February 28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"July 21, 2019","August 25, 2018",July 16,"June 21, 2016","July 18, 2015",52.53,52.97,50.26,49.86,54.22,36,43,46,39,48,72,57,55,59,63,n/a,n/a,n/a,n/a,n/a,86.57,86.2,87.43,88.5,90.29,n/a,n/a,n/a,n/a,n/a,61.57,62.83,62.7,63.3,64.29,n/a,n/a,n/a,n/a,n/a,69.8,70.96,69.8,71.5,72.92,,,
